identifier,february_people_cathedral_aftershocks_rubble_buildings_september,city_council_community_reports_chief_executive_government_public,aftershocks_people_house_woman_september_couple_disaster,red_zone_homes_people_areas_damage_central,february_south_pike_river_zealand_island_news_september,describes_experience_touches_sep_family_work_dunedin,eqc_work_rebuild_commission_heading_ian_homes,buildings_city_heritage_architect_notes_discusses_auckland,john_key_labelled_cup_prime_february_rugby_world_representing,buildings_time_february_ring_moon_rubble_devastated,mayor_bob_parker_mp_local_february_special_anderton,finance_government_billion_economy_bill_english_rate_bank,insurance_recent_companies_house_ami_community_company,people_woman_newspaper_reading_comments_headline_february,city_people_university_cbd_including_magnitude_effects,party_year_gas_energy_oil_leader_exploration,people_february_september_jersey_victims_replies_zealand
DCDL-0016249,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.971781305114638,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351
DCDL-0016259,0.188378631677601,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.563261480787254,0.000937207122774133,0.235238987816307,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133
DCDL-0016310,0.448522829006267,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.269471799462847,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.269471799462847
DCDL-0016337,0.0993117010816126,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.295968534906588,0.000983284169124877,0.1976401179941,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.1976401179941,0.1976401179941,0.000983284169124877,0.000983284169124877,0.000983284169124877
DCDL-0016804,0.949526813880126,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211
DCDL-0016946,0.457627118644068,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.522816166883963
DCDL-0017142,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.0865467009425878,0.343616109682948,0.000856898029134533,0.000856898029134533,0.0865467009425878,0.472150814053128
DCDL-0017148,0.00103412616339193,0.00103412616339193,0.776628748707342,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.207859358841779
DCDL-0017150,0.292069632495164,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.195357833655706,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.485493230174081
DCDL-0017150A,0.195357833655706,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.0986460348162476,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.678916827852998
DCDL-0017151,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.979139504563233
DCDL-0017151A,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.979139504563233
