identifier,servus_bonus_dominus_domina_medicus_ancilla_video,urbs_miles_domus_pater_totus_neo_exercitus,urbs_romani_postquam_bellum_primus_chr_n,defendo_malus_finis_civitas_tandem_oppidum_subito,pugno_germanus_vir_nonne_bestia_harena_miser,deus_imperator_colo_agricola_ager_domus_romanus,facio_castra_legio_ito_exercitus_tempus_cognosco,amicus_lucius_marcus_video_alius_venio_campus,senatus_jubeo_aeneus_mors_periculum_tantus_filius,mercator_navis_pirata_ito_capio_italiae_alius,juvenis_alius_dominus_tonsor_servus_locus_ludo,romani_senator_publicus_consul_rex_populus_civis
LatinumB:11.14,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.366504854368932,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.609223300970874,0.00242718446601942
LatinumB:11.15,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.94811320754717,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
LatinumB:11.16,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.712264150943396,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.240566037735849,0.00471698113207547
LatinumB:12.1,0.00177935943060498,0.00177935943060498,0.5355871886121,0.00177935943060498,0.00177935943060498,0.446619217081851,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498
LatinumB:12.2,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.644230769230769,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.323717948717949,0.00320512820512821
LatinumB:12.3,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.163461538461538,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.483974358974359,0.323717948717949,0.00320512820512821
LatinumB:12.4,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.969613259668508,0.00276243093922652
LatinumB:12.5,0.00381679389312977,0.00381679389312977,0.958015267175573,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977
LatinumB:12.6,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.55524861878453,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.417127071823204,0.00276243093922652
LatinumB:12.7,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.476415094339623,0.00471698113207547,0.476415094339623,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
LatinumB:12.8,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.932098765432099,0.00617283950617284,0.00617283950617284,0.00617283950617284
