identifier,πολύς_ἄλλος_πόλις_ἱερός_οἰκέω_πρότερος_γίγνομαι,σύμμαχος_σπονδή_πρός_ποιέω_σφεῖς_ἀθηναίους_γίγνομαι,ἀθηναῖοι_ἀναχωρέω_ἀθηναίων_ἵστημι_τις_πολύς_μάχη,γίγνομαι_πόλεμος_δ_τελευτάω_θέρος_χειμών_ἔτος,τις_ὅς_ἄλλος_πολύς_πρός_ἔχω_γίγνομαι,ναῦς_ὁπλίτης_ἄλλος_σύμμαχος_δ_ἀθηναίων_στρατία,τις_δῆμος_πολύς_ὡς_ἄλλος_πόλις_σφεῖς,ναῦς_πρός_θάλασσα_τεῖχος_πολύς_τις_μέγας,ναῦς_πλέω_ὡς_ὅς_ἄλλος_ποιέω_ἀφικνέομαι,βασιλεύς_ἔχω_σύμμαχος_σφεῖς_πρότερος_αἱρέω_ἀθηναίων,ὡς_πολύς_χωρέω_δ_ἄλλος_ἦδος_πρός,ὡς_λέγω_ὅστις_σφεῖς_ἄλλος_τις_πρότερος
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.96.3,0.000601684717208183,0.000601684717208183,0.000601684717208183,0.000601684717208183,0.000601684717208183,0.421780986762936,0.120938628158845,0.000601684717208183,0.000601684717208183,0.000601684717208183,0.451865222623345,0.000601684717208183
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.97.1,0.000567536889897843,0.000567536889897843,0.0856980703745743,0.000567536889897843,0.000567536889897843,0.0856980703745743,0.000567536889897843,0.624858115777525,0.199205448354143,0.000567536889897843,0.000567536889897843,0.000567536889897843
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.97.2,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.189265536723164,0.000941619585687382,0.000941619585687382,0.801318267419962,0.000941619585687382
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.97.3,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.591863517060367,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.39501312335958,0.00131233595800525
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.97.4,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.984550561797753,0.00140449438202247
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.97.5,0.000661375661375661,0.000661375661375661,0.496693121693122,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.496693121693122,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.98.1,0.000708215297450425,0.000708215297450425,0.177762039660057,0.000708215297450425,0.000708215297450425,0.815155807365439,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.98.2,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.495059288537549,0.000988142292490119,0.000988142292490119,0.495059288537549,0.000988142292490119
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.98.3,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.99053356282272,0.000860585197934596
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.98.4,0.00123152709359606,0.00123152709359606,0.616995073891626,0.00123152709359606,0.00123152709359606,0.062807881773399,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.309113300492611,0.00123152709359606
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.99.1,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.989130434782609,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.99.2,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.0528242677824268,0.000523012552301255,0.000523012552301255,0.105125523012552,0.000523012552301255,0.000523012552301255,0.628138075313807,0.209728033472803
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.99.3,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.370689655172414,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.616995073891626,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.99.4,0.00116009280742459,0.0591647331786543,0.233178654292343,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.697215777262181,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.100.1,0.000293083235638921,0.000293083235638921,0.000293083235638921,0.000293083235638921,0.000293083235638921,0.000293083235638921,0.000293083235638921,0.22010550996483,0.000293083235638921,0.000293083235638921,0.776963657678781,0.000293083235638921
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.100.2,0.000941619585687382,0.000941619585687382,0.471751412429379,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.518832391713748,0.000941619585687382
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.100.3,0.001953125,0.001953125,0.587890625,0.099609375,0.001953125,0.001953125,0.001953125,0.294921875,0.001953125,0.001953125,0.001953125,0.001953125
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.101.1,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.989642184557439,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.000941619585687382
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.101.2,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.986453201970443,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.101.3,0.000523012552301255,0.0789748953974895,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.0528242677824268,0.000523012552301255,0.863493723849372,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.000523012552301255
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.101.4,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.436608557844691,0.000792393026941363,0.000792393026941363,0.555467511885895,0.000792393026941363
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.101.5,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.0591647331786543,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.9292343387471,0.00116009280742459
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.101.6,0.000640204865556978,0.0326504481434059,0.0966709346991037,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.288732394366197,0.000640204865556978,0.0646606914212548,0.51280409731114,0.000640204865556978
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.102.1,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.180755395683453,0.000899280575539568,0.000899280575539568,0.765287769784173,0.045863309352518
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:6.102.2,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.419969512195122,0.00076219512195122,0.267530487804878,0.153201219512195,0.153201219512195
