term,πολύς_ἄλλος_πόλις_ἱερός_οἰκέω_πρότερος_γίγνομαι,σύμμαχος_σπονδή_πρός_ποιέω_σφεῖς_ἀθηναίους_γίγνομαι,ἀθηναῖοι_ἀναχωρέω_ἀθηναίων_ἵστημι_τις_πολύς_μάχη,γίγνομαι_πόλεμος_δ_τελευτάω_θέρος_χειμών_ἔτος,τις_ὅς_ἄλλος_πολύς_πρός_ἔχω_γίγνομαι,ναῦς_ὁπλίτης_ἄλλος_σύμμαχος_δ_ἀθηναίων_στρατία,τις_δῆμος_πολύς_ὡς_ἄλλος_πόλις_σφεῖς,ναῦς_πρός_θάλασσα_τεῖχος_πολύς_τις_μέγας,ναῦς_πλέω_ὡς_ὅς_ἄλλος_ποιέω_ἀφικνέομαι,βασιλεύς_ἔχω_σύμμαχος_σφεῖς_πρότερος_αἱρέω_ἀθηναίων,ὡς_πολύς_χωρέω_δ_ἄλλος_ἦδος_πρός,ὡς_λέγω_ὅστις_σφεῖς_ἄλλος_τις_πρότερος
βασιλεύς,0.00517515028618446,0.00597593906491171,5.49725412156628e-06,0.0050063434741181,8.62880519523103e-07,3.9610392182493e-06,0.00565634603275406,0.0004178091857148,3.42455198298683e-06,0.0160897229688838,2.61911060242163e-06,2.96376208103518e-06
μάχη,0.00180298459145089,3.14357657280995e-06,0.0156726715005855,0.00263741123084455,0.000604879244185695,0.000994220843780574,5.38187063059378e-06,2.76694824976688e-06,3.42455198298683e-06,5.45229514364072e-06,0.00877663962871488,2.96376208103518e-06
τότε,0.00495033923986889,3.14357657280995e-06,5.49725412156628e-06,0.00316384061823867,0.00129518365980418,0.00317279241381769,0.00404178484357593,2.76694824976688e-06,0.000859562547729693,0.00545774743878436,0.00222886312266081,0.00355947825932325
ἀφεστήξω,4.49622092631143e-06,0.00361825663530425,5.49725412156628e-06,5.26429387394122e-06,0.00224435223127959,0.00238058457016783,5.38187063059378e-06,2.76694824976688e-06,0.00702375611710598,0.00791128025342268,2.61911060242163e-06,2.96376208103518e-06
αἱρέω,4.49622092631143e-06,3.14357657280995e-06,0.00907596655470592,5.26429387394122e-06,0.000432303140281075,3.9610392182493e-06,5.38187063059378e-06,0.00332310484797003,3.42455198298683e-06,0.010637427825243,0.00275268524314513,0.00415223067553029
ἀλλήλων,0.00337666191565989,0.00487568726442823,5.49725412156628e-06,0.00316384061823867,0.00207177612737497,3.9610392182493e-06,0.00108175599674935,0.00387649449792341,3.42455198298683e-06,5.45229514364072e-06,0.00222886312266081,2.96376208103518e-06
σπονδή,4.49622092631143e-06,0.0220081795862425,5.49725412156628e-06,0.00395348469932986,8.62880519523103e-07,3.9610392182493e-06,5.38187063059378e-06,2.76694824976688e-06,3.42455198298683e-06,5.45229514364072e-06,2.61911060242163e-06,2.96376208103518e-06
χράω,0.00809769388828689,0.000946216548415794,5.49725412156628e-06,5.26429387394122e-06,0.00263264846506499,3.9610392182493e-06,5.38187063059378e-06,0.0051216212103185,3.42455198298683e-06,0.00109591132387178,0.00144312994193432,2.96376208103518e-06
στρατηγός,4.49622092631143e-06,3.14357657280995e-06,5.49725412156628e-06,5.26429387394122e-06,8.62880519523103e-07,0.00852019535845424,0.00511815896969469,2.76694824976688e-06,0.00257183853922311,0.00191375559541789,0.00196695206241864,0.00800512138087603
διαφθείρω,0.000678929359873027,3.14357657280995e-06,0.0134737698519589,5.26429387394122e-06,0.00116575158187571,3.9610392182493e-06,0.00269631718592748,0.00387649449792341,3.42455198298683e-06,0.00109591132387178,0.00406224054435595,2.96376208103518e-06
δύναμαι,0.00225260668408203,0.00173211069161828,5.49725412156628e-06,0.000794908374965124,0.00215806417932728,0.00119227280469304,5.38187063059378e-06,0.00359979967294672,3.42455198298683e-06,0.00627559171033046,0.00275268524314513,2.96376208103518e-06
ἔργον,4.49622092631143e-06,3.14357657280995e-06,5.49725412156628e-06,0.000794908374965124,0.00513500197168199,3.9610392182493e-06,0.00135084952827904,0.00138624107313321,3.42455198298683e-06,5.45229514364072e-06,0.00170504100217648,2.96376208103518e-06
