identifier,ام_دارم_خواهم_ندارم_شمع_آتش_عشق,حقیقت_عین_راز_یقین_جانان_اسرار_کل,غم_عشق_جهان_درد_یار_وصل_خاقانی,شاه_پیر_جهان_زانکه_حق_حال_شیخ,عقل_دین_مر_جهان_خرد_خلق_باش,دین_عالم_عقل_حق_نور_روح_علم,آدم_حق_راز_پرده_عشق_کل_نمود,عشق_جهان_ذره_عالم_عطار_گم_عقل,زلف_لب_آتش_رخ_خط_عشق_لعل,حق_دین_علم_اسرار_جهان_شوی_دان,اند_صبح_فلک_شاه_کعبه_خاقانی_آمده,شاه_داشت_افتاد_شه_جهان_بودی_بسی,بینی_عالم_چرا_باشی_بسی_زهی_جهان,ملک_جهان_فلک_عدل_دولت_آسمان_رای,عشق_گه_زن_جام_درد_مست_عاشق
urn:cts:perslit:sanaee.divans:ghgh.24,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.490909090909091,0.0013986013986014,0.0013986013986014,0.0713286713286713,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.420979020979021,0.0013986013986014,0.0013986013986014
urn:cts:perslit:sanaee.divans:ghgh.25,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.408130081300813,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.0016260162601626,0.570731707317073,0.0016260162601626
urn:cts:perslit:sanaee.divans:ghgh.26,0.00122699386503067,0.00122699386503067,0.614723926380368,0.00122699386503067,0.00122699386503067,0.0625766871165644,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.246625766871166,0.0625766871165644
urn:cts:perslit:sanaee.divans:ghgh.27,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.972815533980583
urn:cts:perslit:sanaee.divans:ghgh.28,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.509919571045576,0.000536193029490617,0.000536193029490617,0.000536193029490617,0.483109919571046,0.000536193029490617,0.000536193029490617
urn:cts:perslit:sanaee.divans:ghgh.29,0.185276073619632,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.246625766871166,0.00122699386503067,0.00122699386503067,0.553374233128834,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067
urn:cts:perslit:sanaee.divans:ghgh.2,0.000262123197903014,0.000262123197903014,0.000262123197903014,0.000262123197903014,0.249279161205767,0.393446920052425,0.000262123197903014,0.11821756225426,0.000262123197903014,0.000262123197903014,0.11821756225426,0.000262123197903014,0.000262123197903014,0.0133682830930537,0.105111402359109
urn:cts:perslit:sanaee.divans:ghgh.30,0.000321027287319422,0.000321027287319422,0.44975922953451,0.000321027287319422,0.257142857142857,0.000321027287319422,0.000321027287319422,0.0324237560192616,0.176886035313002,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.000321027287319422,0.080577849117175,0.000321027287319422
urn:cts:perslit:sanaee.divans:ghgh.31,0.154716981132075,0.000343053173241853,0.154716981132075,0.000343053173241853,0.0174957118353345,0.223327615780446,0.000343053173241853,0.000343053173241853,0.000343053173241853,0.000343053173241853,0.171869639794168,0.000343053173241853,0.000343053173241853,0.000343053173241853,0.274785591766724
urn:cts:perslit:sanaee.divans:ghgh.32,0.000269179004037685,0.000269179004037685,0.175235531628533,0.000269179004037685,0.000269179004037685,0.686675639300135,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.13485868102288
