identifier,king_war_lacedaemonians_allies_athenians_son_country,athenians_city_arms_temple_death_commons_day,hundred_infantry_heavy_ships_thousand_son_athenians,wall_athenians_town_city_sea_place_army,athenians_lacedaemonians_treaty_allies_lacedaemon_alliance_athens,sicily_war_syracusans_allies_athenians_syracuse_country,athenians_enemy_syracusans_ships_battle_army_men,war_men_good_city_present_power_country,ships_fleet_athenians_sailed_sea_peloponnesians_put,athenians_alcibiades_tissaphernes_son_envoys_lacedaemonians_government,enemy_sea_athenians_force_war_land_numbers,country_athenians_allies_territory_lacedaemonians_town_city
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.111.3,0.000941619585687382,0.0480225988700565,0.000941619585687382,0.0480225988700565,0.000941619585687382,0.000941619585687382,0.000941619585687382,0.330508474576271,0.000941619585687382,0.142184557438795,0.000941619585687382,0.424670433145009
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.111.4,0.110745614035088,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.549342105263158,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.330043859649123
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.112.1,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.604166666666667,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.384868421052632
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.112.2,0.00163398692810458,0.00163398692810458,0.0833333333333333,0.410130718954248,0.00163398692810458,0.00163398692810458,0.491830065359477,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.112.3,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.245145631067961,0.00242718446601942,0.609223300970874,0.12378640776699
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.112.4,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.410130718954248,0.00163398692810458,0.0833333333333333,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.165032679738562,0.32843137254902
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.112.5,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.973300970873786,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942,0.00242718446601942
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.112.6,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.788713910761155,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.198162729658793
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.112.7,0.00109649122807018,0.165570175438597,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.549342105263158,0.00109649122807018,0.110745614035088,0.00109649122807018,0.00109649122807018,0.165570175438597
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.112.8,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.422752808988764,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.563202247191011
